ガ,ga,ga
ギ,gi,ga
グ,gu,ga
ゲ,ge,ga
ゴ,go,ga
ザ,za,za
ジ,ji,za
ズ,zu,za
ゼ,ze,za
ゾ,zo,za
ダ,da,da
ヂ,di,da
ヅ,du,da
デ,de,da
ド,do,da
バ,ba,ba
ビ,bi,ba
ブ,bu,ba
ベ,be,ba
ボ,bo,ba
