あ,a,a
い,i,a
う,u,a
え,e,a
お,o,a
か,ka,ka
き,ki,ka
く,ku,ka
け,ke,ka
こ,ko,ka
さ,sa,sa
し,shi,sa
す,su,sa
せ,se,sa
そ,so,sa
た,ta,ta
ち,chi,ta
つ,tsu,ta
て,te,ta
と,to,ta
な,na,na
に,ni,na
ぬ,nu,na
ね,ne,na
の,no,na
は,ha,ha
ひ,hi,ha
ふ,fu,ha
へ,he,ha
ほ,ho,ha
ま,ma,ma
み,mi,ma
む,mu,ma
め,me,ma
も,mo,ma
や,ya,ya
ゆ,yu,ya
よ,yo,ya
ら,ra,ra
り,ri,ra
る,ru,ra
れ,re,ra
ろ,ro,ra
わ,wa,wa
を,wo,wa
ん,n,wa
