id,kanji,meaning,on_reading,kun_reading,next_review_time,correct_counter
1,白,white,ハク/ビャク,しら-/しろ/しろ.い,null,0
2,黒,black,コク,くろ/くろ.い/くろ.ずむ,null,0
3,赤,red,シャク/セキ,あか/あか-/あか.い/あか.らむ/あか.らめる,null,0
4,青,blue/green,ショウ/セイ,あお/あお-/あお.い,null,0
5,事,business/fact/matter/possibly/reason/thing,ジ/ズ,こと/つか.う/つか.える,null,0
6,物,matter/object/thing,ブツ/モツ,もの/もの-,null,0
7,開,open/unfold/unseal,カイ,-びら.き/あ.く/あ.ける/ひら.き/ひら.く/ひら.ける,null,0
8,閉,closed/shut,ヘイ,し.まる/し.める/た.てる/と.ざす/と.じる,null,0
9,明,bright/light,ミョウ/ミン/メイ,-あ.け/あ.かす/あ.かり/あ.く/あ.くる/あ.ける/あか.らむ/あか.るい/あか.るむ/あき.らか,null,0
10,暗,be blinded/darkness/disappear/grow dark/informal/shade,アン,くら.い/くら.む/くれ.る,null,0
11,多,frequent/many/much,タ,おお.い/まさ.に/まさ.る,null,0
12,少,few/little,ショウ,すく.ない/すこ.し,null,0
13,早,early/fast,サッ/ソウ,さ-/はや/はや-/はや.い/はや.まる/はや.める,null,0
14,遅,back/late/later/slow,チ,おく.らす/おく.れる/おそ.い,null,0
15,近,akin/early/near/tantamount,キン/コン,ちか.い,null,0
16,遠,distant/far,エン/オン,とお.い,null,0
17,強,strong,キョウ/ゴウ,こわ.い/し.いる/つよ.い/つよ.まる/つよ.める,null,0
18,弱,frail/weak,ジャク,よわ.い/よわ.まる/よわ.める/よわ.る,null,0
19,重,-fold/esteem/heap up/heavy/important/nest of boxes/pile up/respect,ジュウ/チョウ,え/おも/おも.い/おも.なう/おも.り/かさ.なる/かさ.ねる,null,0
20,軽,lightly/trifling/unimportant,キョウ/キン/ケイ,かる.い/かろ.やか/かろ.んじる,null,0
21,太,big around/plump/thick,タ/タイ,ふと.い/ふと.る,null,0
22,細,dainty/detailed/get thin/narrow/precise/slender/taper,サイ,こま.か/こま.かい/ほそ.い/ほそ.る,null,0
23,広,broad/spacious/wide,コウ,ひろ.い/ひろ.がる/ひろ.げる/ひろ.まる/ひろ.める,null,0
24,狭,contract/cramped/narrow/tight,キョウ/コウ,さ/せば.まる/せば.める/せま.い,null,0
25,新,new,シン,あたら.しい/あら-/あら.た/にい-,null,0
26,古,old,コ,-ふる.す/ふる-/ふる.い,null,0
