id,kanji,meaning,on_reading,kun_reading,next_review_time,correct_counter
54,分,1%/chances/degree/duty/know/minute of time/one's lot/part/rate/segment/shaku/100/share/understand,フン/ブ/ブン,わ.かつ/わ.かる/わ.かれる/わ.け/わ.ける,null,0
55,今,now,キン/コン,いま,null,0
56,半,half/middle/odd number/part-/semi-,ハン,なか.ば,null,0
57,曜,weekday,ヨウ,,null,0
58,書,write,ショ,-が.き/-がき/か.く,null,0
59,読,read,トウ/トク/ドク,-よ.み/よ.む,null,0
60,話,tale/talk,ワ,はな.す/はなし,null,0
61,聞,ask/hear/listen,ブン/モン,き.く/き.こえる,null,0
62,食,eat/food,ショク/ジキ,く.う/く.らう/た.べる/は.む,null,0
63,飲,drink/smoke/take,イン/オン,-の.み/の.む,null,0
64,買,buy,バイ,か.う,null,0
65,行,act/bank/carry out/conduct/going/journey/line/row,アン/ギョウ/コウ,-い.き/-いき/-ゆ.き/-ゆき/い.く/おこ.なう/おこな.う/ゆ.く,null,0
66,来,become/cause/come/due/next,タイ/ライ,き/き.たす/き.たる/きた.す/きた.る/く.る/こ,null,0
67,会,association/interview/join/meet/meeting/party,エ/カイ,あ.う/あ.わせる/あつ.まる,null,0
68,社,association/company/firm/office/shrine,シャ,やしろ,null,0
69,車,car,シャ,くるま,null,0
70,電,electricity,デン,,null,0
71,駅,station,エキ,,null,0
72,高,expensive/high/tall,コウ,-だか/たか/たか.い/たか.まる/たか.める,null,0
73,安,cheap/contented/low/peaceful/quiet/relax/rested,アン,やす/やす.い/やす.まる/やす.らか,null,0
74,新,new,シン,あたら.しい/あら-/あら.た/にい-,null,0
75,古,old,コ,-ふる.す/ふる-/ふる.い,null,0
76,長,leader/long/senior/superior,チョウ,おさ/なが.い,null,0
77,短,brevity/defect/fault/short/weak point,タン,みじか.い,null,0
78,白,white,ハク/ビャク,しら-/しろ/しろ.い,null,0
79,黒,black,コク,くろ/くろ.い/くろ.ずむ,null,0
80,赤,red,シャク/セキ,あか/あか-/あか.い/あか.らむ/あか.らめる,null,0
81,青,blue/green,ショウ/セイ,あお/あお-/あお.い,null,0
82,天,heavens/imperial/sky,テン,あま-/あまつ/あめ,null,0
83,気,air/atmosphere/mind/mood/spirit,キ/ケ,き,null,0
84,雨,rain,ウ,-さめ/あま-/あめ,null,0
85,雪,snow,セツ,ゆき,null,0
86,花,flower,カ/ケ,はな,null,0
87,草,draft/grass/herbs/pasture/weeds/write,ソウ,-ぐさ/くさ/くさ-,null,0
