id,kanji,meaning,on_reading,kun_reading,next_review_time,correct_counter
79,深,deep/heighten/intensify/strengthen,シン,-ぶか.い/ふか.い/ふか.まる/ふか.める/み-,null,0
80,進,advance/proceed/progress/promote,シン,すす.む/すす.める,null,0
81,世,generation/public/society/world,セ/セイ/ソウ,よ,null,0
82,整,arranging/key (music)/meter/organize/tone/tune,セイ,ととの.う/ととの.える,null,0
83,昔,antiquity/old times/once upon a time,シャク/セキ,むかし,null,0
84,全,all/complete/entire/fulfill/whole,ゼン,すべ.て/まった.く,null,0
85,送,escort/send,ソウ,おく.る,null,0
86,想,concept/idea/think/thought,ソ/ソウ,おも.う,null,0
87,息,breath/coming to an end/interest (on money)/nuture/respiration/rest/son,ソク,いき,null,0
88,速,fast/quick,ソク,すみ.やか/はや-/はや.い/はや.める,null,0
89,続,continue/sequel/series,キョウ/コウ/ショク/ゾク,つぐ.ない/つづ.く/つづ.ける,null,0
90,卒,die/graduate/private/soldier,シュツ/ソツ,お.える/お.わる/そっ.する/ついに/にわか,null,0
91,存,be aware of/believe/exist/feel/suppose,ソン/ゾン,あ.る/たも.つ/と.う/ながら.える,null,0
92,対,anti-/compare/equal/even/opposite/versus/vis-a-vis,タイ/ツイ,あいて/こた.える/そろ.い/つれあ.い/なら.ぶ/むか.う,null,0
93,第,No./residence,ダイ/テイ,,null,0
94,題,subject/topic,ダイ,,null,0
95,短,brevity/defect/fault/short/weak point,タン,みじか.い,null,0
96,談,discuss/talk,ダン,,null,0
97,着,arrive/counter for suits of clothing/don/wear,ジャク/チャク,き.せる/き.る/つ.く/つ.ける,null,0
98,調,exorcise/harmonize/investigate/key (music)/mediate/meter/prepare/tone/tune/writing style,チョウ,しら.べ/しら.べる/ととの.う/ととの.える,null,0
99,発,counter for gunshots/departure/discharge/disclose/emit/publish/start from,ハツ/ホツ,あば.く/おこ.る/た.つ/つか.わす/はな.つ,null,0
